hhid,rgid,villid,hhLocX,hhLocY,hhElev,hhLandOwn,hhLandPlant,areaCcfp,ifCcfp,ifCcfpO
1510,126,2,376684.8456,3453778.97,733,0.879486,0.879486,1.994819874,1,1
1512,118,2,377618.5082,3454557.471,684,2.407264,2.407264,0,0,0
1513,118,2,377682.4132,3454673.907,671,8.668805,8.668805,0,0,0
1514,118,2,377743.0054,3454712.509,666,2.261073,2.261073,0,0,0
1516,118,2,377710.37,3454645.503,671,1.741739,1.741739,0,0,0
1517,118,2,377790.9614,3454933.694,660,7.263544,7.263544,0,0,0
1518,118,2,378025.8648,3454881.808,665,2.322667,2.322667,0,0,0
1519,118,2,377749.9088,3454678.375,670,4.230902,4.230902,0,0,0
1520,118,2,377684.9363,3454771.52,672,3.996978,3.996978,0,0,0
1521,118,2,377731.2395,3454748.406,666,1.397308,1.397308,0,0,0
1522,118,2,377662.7112,3454740.799,673,4.258988,4.258988,0,0,0
1523,118,2,377629.8878,3454760.749,672,13.341647,11.91655,0,0,0
1524,118,2,378016.6782,3454926.676,666,1.503289,1.503289,0,0,0
1526,118,2,377647.1776,3454845.362,668,1.47412,1.47412,0,0,0
1527,118,2,377758.9966,3454808.981,660,0.681376,0.681376,0,0,0
